city,Population
"New Rochelle city, New York",78742
"Alameda city, California",78338
"Boynton Beach city, Florida",78050
"Lake Charles city, Louisiana",78001
"Bloomington city, Illinois",77962
"Loveland city, Colorado",77446
"Racine city, Wisconsin",77432
"Flower Mound town, Texas",77329
"Layton city, Utah",77303
"Scranton city, Pennsylvania",77182
"Bellflower city, California",77131
"Gastonia city, North Carolina",77024
"Baytown city, Texas",77024
"Upland city, California",77000
"Cedar Park city, Texas",76999
"Jonesboro city, Arkansas",76990
"Kalamazoo city, Michigan",76545
"Iowa City city, Iowa",76290
"Temple city, Texas",76256
"St. Joseph city, Missouri",75959
"San Ramon city, California",75839
"Wyoming city, Michigan",75820
"Baldwin Park city, California",75813
"Warner Robins city, Georgia",75797
"Hammond city, Indiana",75795
"Bethlehem city, Pennsylvania",75790
"Rapid City city, South Dakota",75443
"Gary city, Indiana",75282
"Albany city, Georgia",75249
"Arlington Heights village, Illinois",75249
"Bolingbrook village, Illinois",75178
"Pasco city, Washington",74778
"Missouri City city, Texas",74705
"Rochester Hills city, Michigan",74696
"Rancho Cordova city, California",74585
"Union City city, California",74559
"Appleton city, Wisconsin",74526
"Missoula city, Montana",74428
"Buckeye city, Arizona",74370
"Rock Hill city, South Carolina",74309
"Georgetown city, Texas",74180
"South Jordan city, Utah",74149
"Evanston city, Illinois",74106
"Camden city, New Jersey",73973
"Flagstaff city, Arizona",73964
"Kissimmee city, Florida",73597
"Schaumburg village, Illinois",73509
"Apple Valley town, California",73508
"Turlock city, California",73504
"Southfield city, Michigan",73158
"Framingham city, Massachusetts",73123
"Bismarck city, North Dakota",73112
"Jacksonville city, North Carolina",72896
"Waukesha city, Wisconsin",72549
"New Britain city, Connecticut",72453
"Pittsburg city, California",72437
"Lafayette city, Indiana",72168
"Frederick city, Maryland",72146
"Lauderhill city, Florida",72094
"Gulfport city, Mississippi",71870
"Pawtucket city, Rhode Island",71847
"Maple Grove city, Minnesota",71807
"Redlands city, California",71586
"Woodbury city, Minnesota",71306
"Decatur city, Illinois",71290
"Weston city, Florida",71210
"Mansfield city, Texas",70981
"North Richland Hills city, Texas",70836
"St. Charles city, Missouri",70764
"Wilmington city, Delaware",70635
"Lynwood city, California",70504
"Homestead city, Florida",70477
"Canton city, Ohio",70458
"Passaic city, New Jersey",69948
"Walnut Creek city, California",69825
"Marysville city, Washington",69779
"Delray Beach city, Florida",69358
"Davis city, California",69289
"Broomfield city, Colorado",69267
"Camarillo city, California",69127
"Daytona Beach city, Florida",68866
"Eau Claire city, Wisconsin",68866
"North Port city, Florida",68628
"Greenville city, South Carolina",68563
"Muncie city, Indiana",68529
"Union City city, New Jersey",68520
"Bowling Green city, Kentucky",68401
"Gaithersburg city, Maryland",68289
"Rockville city, Maryland",68268
"Dothan city, Alabama",68247
"Bossier City city, Louisiana",68235
"Lake Elsinore city, California",68183
"Palatine village, Illinois",68053
"St. Cloud city, Minnesota",68043
"Waterloo city, Iowa",67798
"Yorba Linda city, California",67787
"South San Francisco city, California",67733
"Redmond city, Washington",67678
"Rogers city, Arkansas",67600
"Mount Vernon city, New York",67593
"Redondo Beach city, California",67412
"Rocklin city, California",67221
"Ames city, Iowa",67154
"Victoria city, Texas",67015
"Lodi city, California",66995
"Yuba City city, California",66992
"Jackson city, Tennessee",66903
"Johnson City city, Tennessee",66778
"Oshkosh city, Wisconsin",66729
"Palo Alto city, California",66666
"Kenner city, Louisiana",66657
"West Des Moines city, Iowa",66641
"Eagan city, Minnesota",66527
"Conway city, Arkansas",66426
"Portland city, Maine",66417
"Rowlett city, Texas",66285
"Laguna Niguel city, California",66266
"Alpharetta city, Georgia",66255
"North Little Rock city, Arkansas",66127
"Tamarac city, Florida",66054
"Lehi city, Utah",66037
"Lakeville city, Minnesota",65877
"Shawnee city, Kansas",65845
"Auburn city, Alabama",65738
"Sammamish city, Washington",65733
"Madera city, California",65706
